sex,age,Age_class,race_class,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,decile_score,score_text,v_decile_score,v_score_text,priors_count,start,end,Reoffending_Likelihood
Male,69,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,0,327,1
Male,34,Adult,Other,0,3,0,0,0,F,3,Low,1,Low,0,9,159,2
Male,24,Young,Other,0,4,0,1,4,F,4,Low,3,Low,4,0,63,2
Male,23,Young,Other,0,8,1,0,1,F,8,High,6,Medium,1,0,1174,1
Male,43,Adult,Other,0,1,0,0,2,F,1,Low,1,Low,2,0,1102,1
Male,44,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,1,853,1
Male,41,Adult,White,0,6,0,0,14,F,6,Medium,2,Low,14,5,40,2
Male,43,Adult,Other,0,4,0,0,3,F,4,Low,3,Low,3,0,265,1
Female,39,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,2,747,1
Male,21,Young,White,0,3,0,0,1,F,3,Low,5,Medium,1,0,428,2
Male,27,Adult,White,0,4,0,0,0,F,4,Low,4,Low,0,0,857,1
Male,23,Young,Other,0,6,0,0,3,M,6,Medium,4,Low,3,4,128,2
Female,37,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,1,1186,1
Male,41,Adult,Other,0,4,0,0,0,F,4,Low,2,Low,0,0,905,1
Female,47,Adult,White,0,1,0,0,1,F,1,Low,1,Low,1,0,216,2
Male,31,Adult,Other,0,3,0,0,7,F,3,Low,2,Low,7,0,22,2
Male,37,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,739,1
Male,25,Young,Other,0,10,0,0,3,F,10,High,9,High,3,0,463,1
Male,31,Adult,White,0,5,0,0,6,F,5,Medium,4,Low,6,0,241,2
Male,31,Adult,White,0,3,0,0,5,F,3,Low,2,Low,5,0,163,2
Male,64,Adult,Other,0,6,0,0,13,F,6,Medium,3,Low,13,0,1,2
Male,21,Young,Other,0,9,0,0,1,F,9,High,9,High,1,2,30,2
Male,27,Adult,White,0,2,0,0,0,M,2,Low,3,Low,0,0,81,2
Female,21,Young,White,0,4,0,0,0,F,4,Low,5,Medium,0,0,861,1
Male,24,Young,Other,0,4,0,0,1,F,4,Low,5,Medium,1,1,411,2
Male,43,Adult,White,0,1,0,0,1,M,1,Low,2,Low,1,0,1162,1
Male,32,Adult,Other,0,3,0,0,0,M,3,Low,4,Low,0,1,1056,1
Male,27,Adult,Other,0,3,0,0,8,F,3,Low,3,Low,8,16,116,2
Female,36,Adult,White,0,3,0,0,3,F,3,Low,1,Low,3,0,53,1
Male,26,Adult,Other,0,7,0,1,5,F,7,Medium,7,Medium,5,0,391,2
Male,33,Adult,Other,0,10,0,0,0,F,10,High,6,Medium,0,38,215,2
Male,30,Adult,White,0,9,0,0,9,F,9,High,10,High,9,44,162,2
Male,32,Adult,Other,0,8,0,0,4,F,8,High,3,Low,4,0,6,2
Male,55,Adult,White,0,1,0,0,0,F,1,Low,1,Low,0,1,823,1
Male,49,Adult,Other,0,3,0,0,7,F,3,Low,2,Low,7,3,502,2
Male,26,Adult,White,0,8,0,2,6,M,8,High,8,High,6,0,81,1
Female,33,Adult,White,0,5,0,0,4,M,5,Medium,2,Low,4,10,223,2
